1841 1842 1843 1844 1845 1846 1847 1848 1849 1850 1851 1852 1853 1854 1855 1856 1857 1858 1859 1860 1861 1862 1863 1864 1865 1866 1867 1868 1869 1870 1871 1872 1873 1874 1875 1876 1877 1878 1879 1880 1881 1882 1883 1884 1885 1886 1887 1888 1889 1890 1891 1892 1893 1894 1895 1896 1897 1898 1899 1900 1901 1902 1903 1904 1905 1906 1907 1908 1909 1910 1911 1912 1913 1914 1915 1916 1917 1918 1919 1920 1921 1922 1923 1924 1925 1926 1927 1928 1929 1930 1931 1932 1933 1934 1935 1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1948 1949 1950 1951 1952 1953 1954 1955 1956 1957 1958 1959 1960
1 13178 13650 13451 13069 13660 14751 14364 14238 13949 13084 14208 14261 14310 14035 13461 13557 14272 14256 13763 13042 13436 13034 13594 14169 14536 14242 14096 14301 14327 14057 14188 13618 13552 13917 13885 12917 12925 13180 12807 12600 12224 12582 12718 12922 12826 13327 12738 12595 13251 13147 13537 13695 13511 13221 14049 13657 14317 14715 14522 13512 13046 11880 12360 12439 11646 11354 10565 10360 9640 10601 10476 8779 9470 9259 8657 8033 7204 9597 7301 7589 6913 6319 6129 6471 6362 6013 5820 5846.53802603194 5911.72699526913 5299.66554176617 5536.41627086478 5374.43875190694 5137.03134598756 5060.25966803965 4939.62703983708 5057.08377080198 4856.99528571108 4517.97825454644 4524.09163354984 4896.86513011644 4798.81286874703 4432.36048361423 4167.41719806959 4106.27921583599 3742.80933265239 3792.79509762386 3538.25366973825 2827.53955799361 2687.86658987138 2571.55735371054 2509.25641086546 2379.69247448516 2308.47189868223 2170.06864203835 2102.50580803528 2040.29133620818 2012.25757529256 1961.38144808228 1943.09177114445 1893.8113507467
2 5382.964 5212.086 5051.86513 5517.51057 6020.4882 5639.22135 5434.46056 5218.6177 5099.38226 5184.5394 5395.45888 5608.18799 5646.1141 5010.89985 5106.66639 5515.0634 5599.75296 5271.54112 5366.52851 5332.26456 5701.97068 5876.29262 5490.23724 5559.27387 5372.26704 5135.18904 5309.72624 5261.06161 5225.19627 4798.19769 4746.26172 4756.19292 5015.71296 4861.96784 4575.28995 4854.00642 5037.28875 5038.1646 4911.58169 4196.074 4700.4048 4524.75568 4591.0332 4487.12934 4581.86544 4286.84658 4350.88332 4772.313 4779.00241 4474.66656 4474.46025 4092.5831 4111.68706 4423.99342 4160.88791 4084.88733 4047.66492 3942.72555 3858.47692 3449.14144 3388.59738 3483.3836 3511.7348 3211.73748 3239.05764 3106.15584 2959.40415 2805.732 3105.6732 3159.36066 2579.18644 2708.35149 2949.4674 2864.69337 2352.99568 2667.043 3395.40564 2066.61258 1822.46234 2014.5598 1926.9009 1774.31814 1884.92968 1774.24513 1660.20174 1585.56069 1705.5998 1702.14232655661 1342.35261979817 1373.78565634169 1272.17174757991 1191.09360126681 1072.30690647432 1012.60084724094 993.362139162539 753.834979100478 621.106540376392 628.251884077892 748.81562172244 654.383420913583 461.071962817183 444.553151938653 364.612240423471 335.234740980181 281.82459801846 276.588362612546 236.460509003181 200.714026502374 199.490458821023 184.273914395459 161.329931252321 143.508596829487 126.333197915573 129.537142482236 123.719900409088 114.981394129842 108.552529546661 112.732159602281 111.003435727221 108.74237104927
3 2838.1504046 2807.3718244 2860.549433937 3076.6157655597 3150.934447914 3142.994061102 2750.1107873976 2670.013123245 2775.0214561272 2675.070705438 2993.9671913088 2952.8204225685 2602.226730609 2614.817434845 2983.6807034704 3097.921413048 2665.8667790208 2534.88245472 2795.6921994093 2980.9718582688 3155.2363840664 2806.5147724218 2726.861205012 2539.7974147532 2425.9785913584 2657.3278492416 2720.8626821376 2673.7570720836 2311.2654011629 2015.6368893804 2256.0594963324 2363.8833730368 2167.7274810048 2037.0234865728 2161.6177134255 2252.2521341562 2244.5517798 2118.967355214 1964.8802692428 1922.84272986 1922.369272928 1927.26793044 1839.047101632 1825.258241586 1769.9494436208 1730.9330833542 1864.6710141332 1907.16241596 1794.3232472451 1692.0509688576 1675.84575249 1605.608502057 1693.6775540464 1645.4530314684 1524.5676893576 1508.6137863678 1521.6826458912 1487.7501996905 1399.774820822 1298.7277478784 1330.3612097104 1322.023948168 1220.701128052 1227.281769666 1218.8459745952 1167.618872784 1109.4818947555 1162.71084852 1260.82502226 1121.11531142 1077.2462400084 1246.2580910208 1160.44205695 1049.2431011622 1309.0429635472 1758.31615333 967.3144309752 849.7960469804 794.2609391484 891.308900372 719.253181899 780.2877289914 711.0523235736 691.8308517198 691.6730429152 774.3240614178 731.472505582 618.518769894499 570.463842441758 570.784288004488 524.387750084771 470.910838671021 430.540743360871 421.20330315247 386.890799989592 399.889638829171 414.625174020384 426.49609008378 389.551516567857 323.600458387469 277.974348655932 256.029842340382 213.707704547789 197.744868855347 170.320373333833 166.639027232352 150.020956804663 130.125566943981 127.59869217073 119.858428428186 108.70907795017 100.359940808174 93.0335215199898 91.0960146702232 88.5298448238556 86.0034666268612 82.2128712726268 84.8386869449592 82.9431227416602 80.6771565898795
4 1875.41713030624 1822.75171642621 1987.93287982367 2179.33182534473 2153.77499389672 1905.55227195534 1693.86274463241 1807.44089859248 1798.06171452907 1887.07602678319 1981.50589257449 1750.39684920295 1697.52116899305 1994.51813792785 2143.21719740639 1795.53845036298 1583.33105253441 1699.0391660711 2071.32389457937 2143.06980760218 1922.466057235 1694.83111995407 1549.70402881986 1530.54167640321 1712.52988382855 1805.68058884516 1759.16035624891 1556.83890998469 1330.6652477401 1429.07272749639 1580.13405961254 1404.52128808739 1307.07258712783 1383.34463152477 1412.93004359103 1422.78623032156 1370.04854810333 1331.96315370882 1321.20705077046 1220.8418707175 1204.31387275775 1127.85605110657 1158.60800927761 1147.67935246566 1098.37349573159 1166.2744860679 1196.24553802819 1172.13461696026 1167.35781843051 1066.6726542685 1041.6556411477 1084.96764103631 1066.63765980231 959.636591692041 967.199810027741 1010.17623103424 999.017245853337 945.477567123664 871.988663577265 812.496900272489 854.422080252909 811.484130480844 794.254463809262 769.709541748093 749.192140721665 705.351803401126 681.221589362851 724.781373501521 702.566909524136 697.971897034356 780.536186938724 743.509646369703 662.842094465193 881.294694817704 1164.40316681369 674.946050927826 565.088658746468 530.168743720499 445.006447001007 478.85245245301 482.049708743478 464.744610068144 436.294586022918 414.336304283175 440.91198479852 437.061339735737 368.80656933156 376.437716267599 373.388478547821 379.260558564663 338.468500535009 297.096073488275 279.475431212228 268.397054480801 245.189000759185 270.238735636193 294.567593681215 293.24700746108 237.489140831984 190.539731672873 176.223977849002 159.133148309281 134.261193048276 124.181797910339 108.135362510426 105.391373928117 99.0975944519209 87.5085561996733 85.0446895647162 81.156677881571 75.894361578699 72.3436432308912 69.8511595750883 66.02301508061 65.0758626331659 65.5302172644662 63.3281762993726 64.8609827475572 63.1526693574035 61.0946668222543
5 1279.78081399776 1406.97826654421 1585.09413486303 1590.93104901871 1375.77147524919 1272.01462332704 1293.18165004905 1293.88144001154 1358.01034464293 1338.11590246728 1240.67656919412 1210.61289554857 1422.47491164747 1594.0786843725 1297.95546141219 1085.77232779849 1204.20051093802 1476.74046671088 1627.99401458256 1339.544657985 1187.54040218921 1065.34410829285 1070.64958944057 1231.41441454771 1300.31920318 1265.7759179142 1133.34119324482 967.071175156653 1024.59034690183 1087.02429677679 1019.42999035753 931.953106953943 960.436239493406 1015.29866574683 995.615122481399 985.066598402649 978.720424307766 992.452564969948 929.775045752144 847.03735400589 803.486566145858 804.768253011611 800.917782475358 782.644282038272 814.777354763019 828.274815763022 834.434591335914 849.630204848412 794.823664234703 710.206919566515 777.648886275914 755.457487190613 672.763630785978 660.329312402631 706.548250302376 719.248690326434 710.449423990534 646.265092335292 594.314719371049 586.725345860906 576.98859104996 601.44765966265 582.183365121704 550.113171673354 518.005213444376 486.941203675803 504.721958500655 511.37959018343 543.303255110535 599.385920133974 546.258739874199 496.641335634779 620.882478767754 869.771180600284 515.638686810249 443.020143458285 367.289039509763 347.825690517196 295.802991903707 360.556429331059 322.0524904295 316.409156828082 316.118757468204 329.960859278949 336.127288959459 312.781884907343 302.448340924036 306.539663024999 308.76364477841 295.588975597349 262.750005153713 243.310500912427 226.194196494744 213.409740663461 212.299961772047 223.633933978233 220.126335638823 205.334229482572 168.885217262651 133.193891489406 118.981044654632 108.124608033096 91.6482551225583 84.2323875944709 73.2536122117938 71.0460360183332 69.1078303397035 61.9010753521353 59.9352894035432 58.0053615628213 55.5913811986297 54.3213966454511 53.9433305033581 49.9223351437107 49.6994187341985 51.2711773914583 49.9805360216581 50.7598364541271 49.3548406845834 47.5900059259087
6 1037.37820520257 1177.58073518043 1204.01947707888 1066.3025342981 931.533740669192 1001.13071369479 962.824488454918 1026.62020308781 1012.77707703346 902.391255787207 896.099128920425 1069.46670835302 1172.79584354048 965.778861735682 779.327719773718 876.899841582849 1103.69426374915 1190.95542290449 1032.33140397423 856.096878432881 775.806579355698 786.949841092632 906.822575240731 960.36534931723 928.682141703515 833.570516102509 711.568831424219 776.479599122239 809.344099601204 730.122541817181 676.745818835234 696.175316272893 727.622129420934 727.925263765955 693.495620006224 721.390664139212 730.300602394149 696.046070934965 641.698869861608 571.919333207908 580.135968828274 577.73380374458 560.135996736967 587.32290144013 583.137763224887 589.955032761112 615.532813529356 585.555972631001 527.158941877005 535.794845672717 542.389321238297 474.173627283691 476.033731595053 502.218881542174 510.84667621203 519.161885932124 475.913407589088 432.793182197403 428.418740126689 412.952270029179 444.419969064427 434.078801506949 407.655631215085 395.922444898657 399.923871311196 416.731460723497 409.115628179872 444.97453790968 508.485789678632 470.236742446019 396.496222524008 498.952188734453 683.645018737631 438.141387915112 390.444174542843 344.830461862613 294.87804051769 276.281424234714 278.745377919674 320.083257928417 274.28843577992 278.263340321466 307.77685581998 307.986517574589 276.95780298658 267.179179750381 264.107851074071 279.406018873885 267.235973808771 241.124986135215 222.049026352199 210.951727805024 196.263397687056 194.906365275397 201.774531655777 187.455238700874 165.399234063097 146.87863511441 127.318914329077 100.737345467766 85.336159480732 78.9636609350325 67.1275654571603 61.2975685045931 53.0781778040883 51.1841820624125 51.1149938137694 46.3622897279386 44.8930548956606 43.9463451623318 42.9162322698344 42.6441507544547 43.118420159286 39.655440173032 39.7072620452835 41.4110889567612 40.6196691235454 40.9162946171054 39.7452897068438 38.2815267483123
7 879.50621765046 926.997322476413 830.181217733903 729.858060979883 735.072796108359 766.253721987161 782.791611544813 790.550973527877 700.113288016933 675.108548452814 815.654173721964 886.547883428043 712.469966968345 602.822690444242 626.485607335791 814.049132193612 903.453776446544 781.322335345083 681.357677490553 584.04557058841 600.902776362831 680.098214597972 719.739032484733 703.831365185047 619.283474375408 553.231606976587 595.640112389494 635.920780551395 560.040381600417 512.209884518072 527.978248714888 545.801601808847 539.987554508907 535.444378391223 524.016474151906 557.144360159108 541.601474661487 502.77418503393 451.381086743595 444.323258623979 447.822150260239 431.505900549335 446.493870086305 452.273242800676 434.708725589761 471.547124652405 457.073356774935 411.682933971194 418.729339819166 398.92166498282 371.826270710005 372.670917897978 394.695047829764 385.078106938184 391.185557817142 369.739295879559 342.105115645807 336.225549925381 335.231111862521 338.095255131907 332.687132587478 325.870327440726 309.891657737083 306.901508181892 303.424918340133 294.636994917119 306.602060491876 344.36072876453 339.48375766841 307.564929740483 369.393372389174 504.610994764618 309.941485890461 281.844061364131 252.550902218444 240.159975291275 214.526819508017 214.104142476077 202.172378722142 242.950507689768 224.299762760702 235.975479802332 239.971441940327 218.725856019259 202.119967034362 216.558121897611 236.09966882603 226.041839215491 208.924117143438 194.397373841522 181.943565385256 173.120593876025 170.555113023679 174.984804963127 160.777070412039 145.048209762994 122.727899729191 107.75264915539 95.9507258357253 77.6264585048803 64.6492271652269 60.8872390911451 52.0165706309895 47.414202674474 41.0239172082003 39.3437988338892 40.1062154569072 36.8228251830308 35.736186264267 35.2777652603432 34.9257813871078 34.9968237388256 35.7888674256003 33.150221019122 33.2710353204625 34.6423772419702 34.1115531164248 34.111487142906 33.0399844652578 31.8625188963497
8 713.964679346239 646.016672094509 555.753412299148 593.079169087611 562.824358386991 611.511674355333 596.293898894954 533.300141085823 515.352666033342 617.048231718504 660.913980058235 536.898986674179 448.381299152316 470.560802310538 566.732835288632 665.912996904278 597.328499403097 513.894004381794 459.222400935772 453.390341002805 501.557528277417 533.943538823449 527.945782389075 478.686716690952 417.429205490314 450.599286068039 477.405579787916 429.67820836505 394.383060740866 400.218608000759 399.778732250566 402.636073135229 398.336859914816 407.063557006251 401.485785904623 421.122751832373 390.764865598362 351.003703843338 350.99449050359 342.502691166701 332.78041099228 341.745612229428 344.25507705588 336.077392203371 349.731433119044 353.076218392176 318.787521807751 317.042605090967 306.752390176222 281.488617855813 297.90402769205 302.327810251194 297.460055253733 291.694544146718 282.790741346871 268.771234364782 264.568830291912 269.678294748373 263.605507181933 251.503960889014 257.685406112218 247.482220174859 233.551243177247 228.700122116406 228.572285174029 242.457577644025 267.08624869987 271.849697993643 254.215976059248 298.956112341211 389.553205011934 246.565761135079 234.758354707877 213.420710876476 186.933854493088 180.261236851773 179.20248458373 180.848243881349 164.392016621814 192.944888148374 181.84183726159 182.356933134297 175.450969892591 159.829607776401 164.75491495715 189.826422916811 182.048645181167 169.772165649048 159.420232593048 154.135570506724 143.942410554254 144.352380927504 146.504145736856 137.03187539554 116.805660875345 108.028753106153 91.7906297836348 81.4986930090201 72.2046858336397 60.4657658880944 51.3344510648098 48.8350303820506 42.1047629487885 38.6007549699549 33.560334399658 32.0862457733709 33.2369935318348 30.8871955824025 30.0645406766321 29.8514342269865 29.8342292754133 29.9059333238704 30.8337085131456 29.0424689122055 29.1625840015731 30.0467784182276 29.6498901647863 29.4593738799957 28.3398842871228 27.4387150803273
9 516.985353697167 434.824806951898 473.252636172146 461.935174564552 452.736863922497 474.390051394139 403.885855850547 398.318665362472 478.245287442064 505.147418515361 411.458259575592 355.034137907913 348.421997338792 425.36241269943 477.648468917946 458.780444208854 404.314787805864 352.705050145749 360.290723996151 378.79874640604 400.679042954749 403.635921558647 375.145747193193 333.54806850441 338.723798743897 363.091427218414 326.455475721261 315.612228372366 313.094089263229 304.380300489762 300.660616093604 307.898620551683 311.117460298626 316.233864465137 317.979318005654 311.822538756464 278.876742682896 279.660038671628 273.538688944739 261.590981441725 268.357170005402 271.111460023526 260.539470114793 277.305422585928 269.844268076949 251.04980114178 243.740527591387 236.037908664141 227.804122477123 234.633457261764 241.890374631896 228.970772197135 229.439333519026 219.707881035304 214.417316220873 212.564356220839 221.912987438818 209.277269168384 198.201783268499 207.073111978638 198.624407195744 199.808746402038 193.39206650613 178.724101055391 187.086079520187 214.61013730429 216.313152822024 207.601785945587 260.137337338964 361.593064825483 215.968003646527 190.746248607766 164.459721376543 153.980942432673 149.049233500255 156.754914050249 154.525884897363 149.53101184305 142.80081358898 176.698584965796 153.894422671808 142.541344931258 138.291084293335 150.581902587224 162.656108397611 152.444267025943 131.968548263858 131.364468323751 127.592214329402 125.680783581128 120.227372268628 122.932424597173 115.459771089637 103.304007493358 89.2922351619793 81.2447757854258 70.7151380919946 63.9254949027236 55.1368823868972 47.9918249277177 42.488269664892 40.4927639529246 35.3968693970102 32.8722667657692 28.8848834734502 27.6293612546395 28.9577701723499 27.2283493309449 26.5889725926159 26.5055109871703 26.6403495977475 26.5414305800891 27.5606782448205 26.541858411506 26.6384121415374 27.025722601194 26.6962870618565 26.368177644466 25.0805240766918 24.4421462729273
10 368.719051295518 397.692121387273 390.961909612041 392.283434105773 375.361805925183 342.318627246415 325.602391350418 392.526749860224 412.913145024259 347.374636926479 299.150354224268 292.613039917899 336.706091714228 390.34527007859 363.512000938139 339.025391371334 298.847459233326 294.164742717058 316.105940370141 329.461975460307 329.046174500492 310.021973020216 280.469356029772 281.274939563441 290.842122378506 269.69301027792 265.246215885727 269.674721736383 251.332075961194 250.131559156094 249.664636427819 256.407446934524 258.818954212396 271.519274874473 251.359109407653 238.761410235055 237.078938991099 231.057443082527 222.172513571807 225.795245242641 228.673172874842 216.751514864906 229.524479393085 229.231460179894 204.769772001066 201.727012287613 194.999190918334 192.112066451266 201.807916412897 200.617681566874 194.139236279052 187.279541143848 186.111854225203 178.689042930781 180.630581153994 191.018599487091 178.871270182054 167.12213182974 176.763812033041 166.175696332715 167.893151168697 171.072171600267 168.008068496757 173.487606200419 180.951959966703 182.065521363201 176.749643565609 226.213177669134 318.531879434016 185.361334564632 162.180255099734 157.328777493343 146.551232430933 140.260979619889 139.435983794442 138.512702264049 129.12007581188 135.544774743828 127.516833640936 149.14617680449 132.315604698076 126.203605604951 126.422171164395 131.537809367018 133.656869753427 120.668693803347 109.211512165689 107.419236022694 106.529956416053 110.162012156482 105.90859256901 100.081718781019 89.896295191478 82.1896331037333 72.0017409174306 63.9127551189815 57.0781744348419 52.3335971651446 44.0967750975861 39.6957417834886 36.579979130964 34.9123176121861 31.0210824844096 29.255748616778 26.0813721780701 25.0423189182097 26.409410617809 25.0955772031185 24.6160752669626 24.6204898095187 24.7887562545243 24.4627184468397 25.555901271722 25.1918276669322 25.2384667907332 25.1918535710608 24.8946631512328 24.4441757464436 22.9210957227288 22.5188823512027
